Time [s],Value,Parity Error,Framing Error
1.733330000000000,0xFF,,
1.735670000000000,0xFF,,
1.736990000000000,0xFF,,
1.738770000000000,0xFF,,
1.740030000000000,0x2F,,Error
1.741135000000000,0xD6,Error,
1.742235000000000,0xFA,,
1.751560000000000,0xFF,,
1.752755000000000,0xFF,,
1.753920000000000,0xFF,,
1.755440000000000,0xFF,,
1.757715000000000,0xFF,,
1.758905000000000,0xFF,Error,
1.760010000000000,0x7E,,
1.761135000000000,0xF7,Error,
1.762255000000000,0xFF,,
1.770125000000000,0xFF,,
1.771335000000000,0xFF,,
1.775190000000000,0xFF,,
1.779850000000000,0xFF,Error,
1.781820000000000,0xFF,,
1.783295000000000,0xFF,,
1.788595000000000,0xFF,,
1.792095000000000,0xFF,,
1.793315000000000,0xFF,,
1.798830000000000,0xFF,,
1.800040000000000,0x2D,,
1.802075000000000,0xC5,Error,
1.803695000000000,0xFF,,
1.813940000000000,0xFF,,
1.815125000000000,0xFF,,
1.817305000000000,0xFF,,
1.819600000000000,0xB5,,
1.820695000000000,0x7E,Error,Error
1.821920000000000,0x73,Error,
1.823300000000000,0xED,,Error
1.824460000000000,0xFF,,
1.828480000000000,0xFF,,
1.829750000000000,0xFF,,
1.832345000000000,0xFF,,
1.834985000000000,0xFF,,
1.836535000000000,0xFF,,
1.837790000000000,0xFF,,
1.839345000000000,0xBF,,Error
1.840475000000000,0x02,,Error
1.841585000000000,0x86,,
1.843045000000000,0xAD,Error,Error
1.844350000000000,0xFF,,
1.854125000000000,0xFF,,Error
1.855225000000000,0xFF,,
1.856690000000000,0x5F,,
1.857785000000000,0xFF,Error,
1.858955000000000,0x48,Error,
1.860100000000000,0xA1,,
1.861200000000000,0xDB,,Error
1.862300000000000,0x9F,,
1.863395000000000,0xED,,
1.864985000000000,0xFE,Error,
1.866125000000000,0xFF,,
1.867375000000000,0xFF,,
1.868625000000000,0xFF,,
1.870290000000000,0xFF,,
1.871535000000000,0xFF,,
1.873395000000000,0xFF,,
1.874500000000000,0xFF,,
1.876530000000000,0x7F,Error,Error
1.877780000000000,0x75,Error,
1.879035000000000,0x59,,Error
1.880190000000000,0xC0,Error,Error
1.881340000000000,0xE1,Error,
1.882455000000000,0x7A,Error,
1.883575000000000,0xFF,,Error
1.884850000000000,0xFF,,Error
1.886935000000000,0xFF,,Error
1.888055000000000,0x7F,,
1.890055000000000,0xFF,,Error
1.891180000000000,0xFF,,
1.892610000000000,0xEF,Error,
1.893890000000000,0xFB,Error,
1.895255000000000,0xFD,Error,Error
1.896595000000000,0xBF,,Error
1.897700000000000,0xCE,Error,
1.898845000000000,0x80,Error,
1.899940000000000,0xD0,Error,
1.901045000000000,0xAF,,Error
1.902820000000000,0xFF,,
1.914265000000000,0xFF,,
1.920085000000000,0xFD,Error,
1.921315000000000,0xFF,,
1.922410000000000,0xFF,Error,
1.923590000000000,0xFD,Error,
1.931175000000000,0xFF,,
1.934830000000000,0xFF,,
1.936620000000000,0xFF,,
