Time [s],Value,Parity Error,Framing Error
0.650360000000000,0xFF,Error,
0.651735000000000,0xDF,Error,
0.653420000000000,0xFF,,Error
0.654645000000000,0x7E,,
0.656450000000000,0xFE,,Error
0.657895000000000,0x20,,Error
0.659035000000000,0x00,Error,Error
0.660230000000000,0x88,Error,Error
0.661330000000000,0x40,Error,Error
0.662465000000000,0xEC,Error,Error
0.663565000000000,0xFF,,
0.664800000000000,0xFF,,
0.666160000000000,0xDF,Error,
0.667505000000000,0xD5,Error,
0.669270000000000,0x5B,Error,
0.670625000000000,0xEF,Error,
0.671730000000000,0xD2,,Error
0.673045000000000,0x88,,Error
0.674150000000000,0x4C,,Error
0.675570000000000,0x00,Error,
0.676665000000000,0x7F,Error,
0.677760000000000,0x06,,Error
0.678865000000000,0x01,,Error
0.680010000000000,0x01,,
0.681220000000000,0xAC,,
0.682315000000000,0xDE,,Error
0.683435000000000,0xFA,,
0.685160000000000,0xFF,,Error
0.687245000000000,0xFF,,Error
0.688370000000000,0xFF,Error,
0.690295000000000,0xFE,Error,
0.691415000000000,0xF7,Error,
0.692530000000000,0xFF,Error,
0.694040000000000,0xEF,Error,
0.695580000000000,0xFF,,Error
0.696915000000000,0xBF,Error,
0.698305000000000,0xF7,Error,
0.699605000000000,0x56,,
0.700790000000000,0xC5,Error,Error
0.701955000000000,0xA5,,
0.703255000000000,0xDF,Error,
0.704955000000000,0xFF,,Error
0.706055000000000,0xFF,Error,
0.707355000000000,0xBD,,Error
0.708480000000000,0x10,,Error
0.709610000000000,0xA2,Error,Error
0.710760000000000,0x52,Error,Error
0.711905000000000,0x75,,
0.713005000000000,0xFA,,
0.714220000000000,0xEB,Error,
0.715565000000000,0x03,Error,Error
0.716815000000000,0x77,,
0.717960000000000,0x95,,
0.719095000000000,0x57,,
0.720245000000000,0x21,Error,Error
0.721480000000000,0x00,Error,Error
0.722615000000000,0x00,Error,Error
0.723725000000000,0xA0,Error,Error
0.724910000000000,0x18,Error,Error
0.726140000000000,0x06,Error,Error
0.727260000000000,0x92,,Error
0.728375000000000,0x03,Error,Error
0.729490000000000,0xBE,Error,
0.730825000000000,0xE9,Error,
0.732005000000000,0xEF,Error,
0.733560000000000,0xFF,,Error
0.734745000000000,0xEE,Error,
0.735850000000000,0x7B,,
0.736995000000000,0xBF,Error,
0.738330000000000,0xF7,Error,
0.739520000000000,0x29,,Error
0.740625000000000,0x1C,Error,Error
0.741885000000000,0x4A,Error,Error
0.743075000000000,0xF7,,
0.744580000000000,0xB7,,
0.745735000000000,0xAA,Error,
0.747085000000000,0x97,Error,Error
0.748195000000000,0xFF,Error,
0.750205000000000,0xFF,,
0.751310000000000,0xFF,,
0.753330000000000,0xFF,,Error
0.754435000000000,0xFF,Error,
0.755900000000000,0xEF,Error,
0.757110000000000,0xF3,,
0.758310000000000,0xFD,,
0.759550000000000,0x25,,Error
0.760655000000000,0x02,,Error
0.761795000000000,0x94,,
0.762990000000000,0xA9,Error,Error
0.764095000000000,0x8F,Error,
0.765810000000000,0x6D,,Error
0.766920000000000,0x81,Error,
0.768015000000000,0x00,Error,Error
0.769140000000000,0x68,,
0.770235000000000,0xD7,Error,
0.771345000000000,0xB1,Error,
0.772510000000000,0x7F,Error,
0.773620000000000,0xBB,,Error
0.774735000000000,0x41,,
0.776005000000000,0xB7,Error,
0.777150000000000,0xF9,,
0.778505000000000,0xEB,Error,Error
0.779755000000000,0x00,Error,Error
0.780895000000000,0x00,Error,
0.781990000000000,0x01,,Error
0.783145000000000,0x00,Error,Error
0.784285000000000,0x00,Error,Error
0.785420000000000,0x02,,
0.786645000000000,0xA0,,Error
0.787790000000000,0x40,,Error
0.788900000000000,0xE4,Error,Error
0.790015000000000,0x70,Error,
0.791125000000000,0x7F,Error,Error
0.792240000000000,0x9B,,
0.793625000000000,0xFF,,Error
0.794760000000000,0xFF,Error,
0.796715000000000,0xFF,,Error
0.798090000000000,0xAF,,
0.799560000000000,0x21,Error,Error
0.800675000000000,0x44,Error,
0.801780000000000,0xA4,,
0.802905000000000,0xDE,,
0.804040000000000,0xEF,Error,Error
0.806125000000000,0xFF,,
0.807220000000000,0xFF,,Error
0.809250000000000,0xEF,Error,
0.810350000000000,0xFF,Error,
0.812380000000000,0xFF,,Error
0.813960000000000,0xEF,Error,
0.815505000000000,0xFF,,Error
0.816860000000000,0xA1,Error,Error
0.818345000000000,0x02,,
0.819440000000000,0x00,Error,Error
0.820570000000000,0x00,Error,Error
0.821810000000000,0x04,,Error
0.822910000000000,0x5E,Error,
0.824050000000000,0xBB,,Error
0.825420000000000,0x82,Error,
